,QID,SID,SUBCATEGORY,QUESTION,CORRECT,INCORRECT1,INCORRECT2,INCORRECT3
369,772,26,Astronomy & Space & Planets,What is the closest star to the Sun?,Proxima Centauri,Sirius,Betelgeuse,Al Tarf
370,903,15,Cities,"""Elephant's trunk"" is the meaning of the name of which capital city?",Khartoum,Delhi,Berlin,Stockholm
371,761,26,Astronomy & Space & Planets,"Which sitcom, which began in 1988, takes its name from the smallest type of hydrogen-burning star?",Red Dwarf,Blue Dwarf,Purple Dwarf,Beige Dwarf
372,593,20,Mathematics,Plane geometry is about which type of shapes?,Flat,3D,2D,Curved
373,17,1,History of Art,Jacques-Louis David was the official painter to which military and political leader?,Napoleon,Hitler,Charles de Gaulle,Churchill
374,680,23,US Presidents,In which year was the voting age reduced from 21 to 18?,1968,1967,1966,1969
375,516,18,Beauty & Health,How many pairs of ribs are in a typical human body?,12,6,8,15
376,448,15,Cities,Columbia is the capital of which American state?,South Carolina,South Dakota,West Virginia,North Carolina
377,84,3,Lord of the Rings,The Fellowship Of The Ring was first published in what year?,1954,1949,1959,1964
378,31,2,Children’s Literature,Which of the following is not a childrens author?,Michael Crichton,Dr. Seuss,Enid Blyton,Roger Hargreaves
379,1355,12,Japanese Cuisine,What is the name of an often-used Japanese stock?,Dashi,Lashi,Tashi,Mashi
380,1420,3,Lord of the Rings,What was the name of Liv Tyler's character in 'Lord of the Rings'?,Arwen,Rosie,Lobelia,Eowyn
381,286,10,Directors,Which 1971 film directed by Stanley Kubrick was banned in the UK until 1999?,A Clockwork Orange,Full Metal Jacket,Dr Strangelove,Lolita
382,1302,20,Mathematics,What is 23 added to 88?,111,113,109,115
383,671,23,US Presidents,In which decade did Margaret Thatcher's leadership collapse?,1990s,1980s,1970s,2000s
384,1652,13,Brazilian Cuisine,Which state is Tapioca Breadstick originally from?,Minas Gerais,Amazonas ,Goias,Matto Grosso
385,259,9,Musicals,Rami Malek starred as the lead character in which 2018 musical - drama film?,Bohemian Rhapsody,Rocket Man,A Star Is Born,The Greatest Showman
386,832,28,Sport - US - Basketball General,In what college basketball conferences does Syracuse play?,Big East,Big Ten,Northeast,Atlantic 10
387,681,23,US Presidents,In which year was US President Barack Obama born?,1961,1953,1957,1965
388,1158,15,Cities,Ottawa is the capital of Canada but how many cities are bigger than it in Canada?,3,2,1,0
389,900,30,Reality TV,Which reality show would you associate with Nigel Lythgoe?,Dancing with the Stars,Pop Star: The Rivals,The Real World,American Idol
390,1309,20,Mathematics,What is a sixth of 150?,25,26,27,28
391,1611,27,Sport - General - World Cup (Soccer),Which player scored the winning goal for Mexico against Germany at the 2018 World Cup?,Hirving Lozano,Oribe Peralta,Javier Hernández,Carlos Vela
392,723,25,Biology,What do we call the study of dinosaurs?,Paleontology,Dinosaurology,Teratology,Serology
393,894,30,Reality TV,"Mayte Garcia, Sheree Fletcher and Nicole Murphy are stars of which show?",Hollywood Exes,The Hills,The Real Housewives of Atlanta,Cheer Perfection
394,1783,4,Famous Authors,Who wrote the travel book 'Notes From a Small Island'?,Bill Bryson,Paul Theroux,Jon Krakauer,Charles Lindbergh
395,1795,3,Lord of the Rings,"Which Lord of the Rings character refers to a valuable item as ""My Precious""?",Gollum,Frodo,Bilbo,Gimli
396,1625,27,Sport - General - World Cup (Soccer),Which player was the oldest one on the Spain's squad at the 2018 World Cup?,Pepe Reina,Andrés Iniesta,Gerard Piqué,Nacho Monreal
397,40,2,Children’s Literature,"War Horse, by Michael Morpurgo, is set during which conflict?",World War One,Crimean War,Boer War,American Civil War
398,396,14,Decades 1980s,"Which spooky 1982 thriller contained the line ""They're heeere""?",Poltergeist,The Shining,The Children Of The Corn,The Aliens
399,1767,23,US Presidents,Who was the first member of the Democratic Party to be elected president?,Andrew Jackson,Martin Van Buren,James K. Polk,Franklin Pierce
400,1300,7,Comics,What gives The Juggernaut his powers?,Gem of Cyttorak,M'Kraan Crystal,His Genetics,Haley's Comet
401,107,4,Famous Authors,Which of these is a novel by William Golding?,Lord of the Flies,Stig of the Dump,King of the Hill,Queen of the South
402,827,28,Sport - US - Basketball General,What is Michael Jordan's net worth estimated at as of July 2014?,$1bn,$2bn,$3bn,$4bn
403,954,15,Cities,"Canberra is the capital of Australia, but how many cities are larger in Australia?",7,5,4,3
404,331,12,Japanese Cuisine,Which city claims to have invented the savoury pancake called Okonomiyaki?,Osaka,Sapporo,Nagasaki,Kyoto
405,1501,14,Decades 1980s,Which hairstyle would you associate with the '80s?,The Perm,The Mullet,The Beehive,The Step
406,1326,13,Brazilian Cuisine,What is Bife de Cavalo in English?,Horseback Riding Steak,Free-range Cow,Horse Legs,Rip Horse
407,1548,21,Classic Rock,Which of these ACDC albums was released first?,Highway to Hell,Back in Black,Who Made Who,BallBreaker
408,1776,28,Sport - US - Basketball General,Who won 72 games during the 1995-1996 season setting a then NBA record?,Chicago Bulls,LA Lakers,Boston Celtics,Golden State Warriors
409,1586,28,Sport - US - Basketball General,Which of these teams play in the Southeast Division of the Eastern Conference?,Atlanta Hawks,Denver Nuggets,Minnesota Timberwolves,Portland Trail Blazers
410,1209,26,Astronomy & Space & Planets,The Cerberus Fossae is found on which planet?,Mars,Venus,Mercury,Earth
411,869,29,Cartoons,Stephen Hillenburg is the creator of which cartoon?,SpongeBob Squarepants,Pinky and The Brain,Dexter's Laboratory,The Flintstones
412,160,6,Car Parts,Where on a car would you find hubcaps?,Wheels,Radiator,Fuel tank,Roof
413,1751,23,US Presidents,Who was Richard Nixon's Democratic Party opponent in the 1968 presidential election?,Hubert Humphrey,Eugene McCarthy,George McGovern,Lyndon Johnson
414,1461,4,Famous Authors,Which author wrote The Beach?,Alex Garland,AA Milne,Roald Dahl,Enid Blyton
415,1339,12,Japanese Cuisine,"What is surimi, made from fish or meat?",Paste,Drink,Soup,Pie
416,1070,14,Decades 1980s,"In the '80s, what did the 414 Gang become infamous for?",Computer hacking,Car-jacking,Drug dealing,Flash mobbing
417,1647,16,Landmarks & Monuments,Which sea lies between England and Ireland?,The Irish Sea,The English Channel,The North Sea,The Baltic Sea
418,1353,12,Japanese Cuisine,What is the name of a common Japanese soup?,Miso,Siso,Tiso,Liso
419,977,21,Classic Rock,Focus were a band from which European country?,Netherlands,Ireland,Sweden,Russia
420,1,1,History of Art,Who painted the Mona Lisa? ,Leonardo da Vinci,JMW Turner,Tintoretto,Paul Gauguin
421,914,6,Car Parts,A catatlytic convertor is fitted to which part of a car?,Exhaust,Window,Steering wheel,Fuel pump
422,931,24,Chemistry,An acid is a substance that produces?,Hydrogen Ions In Water,A Red Colour In Water,Metal Ions In Water,Horrible Burns
423,1503,29,Cartoons,Which hit kids program is usually set in Tommy's house?,Rugrats,Captain Planet,The Ren & Stimpy Show,Beavis & Butthead
424,368,13,Brazilian Cuisine,Which of the following is not a main influences characterized in Brazilian cuisine?,Indonesian,European,Amerindian,African
425,1713,11,Films Released in 1930s-1950s,Who directed the film 'North by Northwest' (1959)?,Alfred Hitchcock,Federico Fellini,Richard Brooks,Gene Kelly
426,785,27,Sport - General - World Cup (Soccer),Which of these teams conceded the most goals at the 2018 World Cup?,Croatia,Iran,Denmark,Peru
427,1670,23,US Presidents,Which US President gained the nickname 'Old Tippecanoe' ,William Harrison,Andrew Jackson,Zachary Taylor,James Monroe
428,1667,30,Reality TV,Which TV show is about a woman who is sentenced to 15 months in prison for transporting drug money?,Orange Is the New Black,Weeds,Ox,Girls
429,422,15,Cities,California's Golden Gate Bridge opened in what year?,1937,1932,1927,1942
430,494,17,Greek Mythology,What caused the collapse of The Colossus of Rhodes in 224 AD?,Earthquake,Fire,War,Rain
431,33,2,Children’s Literature,Who wrote We're Going On A Bear Hunt?,Michael Rosen,Roger McGough,Benjamin Zephaniah,Dr. Seuss
432,1722,2,Children’s Literature,Who fell in love with Thumbelina?,A mole,A spider,A kitten,A bird
433,697,24,Chemistry,Which of these compounds can be used to neutralise acid?,Calcium hydroxide,Carbon dioxide,Aluminium hydroxide,Tricarbon
434,1201,21,Classic Rock,The Abdabs was the original name of which band?,Pink Floyd,REM,U2,Bon Jovi
435,1710,11,Films Released in 1930s-1950s,Who directed 'Too Much Johnson'  (1938)?,Orson Welles,Nicholas Ray,Billy Wilder,Alexander Mackendrick
436,1564,24,Chemistry,Which of these is a chemical element?,Bromine,Crimine,Fourine,Jourine
437,488,17,Greek Mythology,Who was the Greek god of sleep?,Morpheus,Pan,Eros,Apollo
438,82,3,Lord of the Rings,What's an alternative name for an orc?,Goblin,Gnome,Troll,Banshee
439,1314,20,Mathematics,What is a third of 33?,11,10,9,8
440,718,24,Chemistry,The Bunsen Burner is named after a chemist from which country?,Germany,Spain,England,United States
441,1496,1,History of Art,Which Florentine artists perfected the single-point perspective first?,Brunelleschi, Leonardo da Vinci,Erasmus,Michelangelo
442,120,4,Famous Authors,Which Alice Sebold novel is about the murder of Susie Salmon?,The Lovely Bones,Time Traveller's Wife,The Alchemist,The Kite Runner
443,1396,7,Comics,"What super power do Deadpool, Wolverine and Sabretooth have in common with each other?",Healing Factor,Sense of Smell,Claws,Heat Vision
444,1690,25,Biology,Which word means all the conditions that surround a living organism?,Habitat,Niche,Environment,Home
445,1612,27,Sport - General - World Cup (Soccer),Which player scored the winning goal for Spain against Germany at the 2010 World Cup semi-final?,Carles Puyol,Xabi Alonso,Fernando Llorente,David Villa
446,989,26,Astronomy & Space & Planets,Ganymede is a moon of which planet? ,Jupiter,Venus,Uranus,Mercury
447,1556,15,Cities,Which of these countries has three official capital cities?,South Africa,Botswana,Namibia,Zimbabwe
448,1304,20,Mathematics,What is 5 7/12 - 2 1/12,3.5,3.25,3.166666667,3.416666667
449,1426,8,Video Games,What was the Nintendo 64's advertising slogan?,Get N Or Get Out,Get N The Game,Get N Here,Get N With Nintendo
450,1737,29,Cartoons,Who played the title role in the show Moesha?,Brandy Norwood,Raven Symone,Aaliyah,Lisa Bonet
451,782,27,Sport - General - World Cup (Soccer),Which player was the oldest one on the England squad at the 2018 World Cup?,Ashley Young,Gary Cahill,Kieran Trippier,Jamie Vardy
452,1068,19,Board Games,"In Scrabble, what letter has the most tiles?",E,A,I,O
453,1780,21,Classic Rock,Who wrote the Aretha Franklin song 'Respect'?,Otis Redding,Sam Cooke,Marvin Gaye,Wilson Pickett
454,1756,10,Directors,Who was the director of Crash?,Paul Haggis,Tony Gilroy,Clint Eastwood,Martin Scorsese
455,301,11,Films Released in 1930s-1950s,How many Oscars did 'The Grapes of Wrath' win at the 13th Academy Awards in 1941?,2,0,10,8
456,752,26,Astronomy & Space & Planets,Which planet is nearest to the Sun?,Mercury,Mars,Neptune,Saturn
457,363,13,Brazilian Cuisine,Virado a Paulista is a regional state dish from which Brazilian state?,Sao Paulo,Amazonas,Acre,Amapa
458,434,15,Cities,The Iguazu Falls is a famous landmark between which two countries?,Brazil and Argentina,Venezuela and Colombia,USA and Canada,Chile and Argentina
459,319,11,Films Released in 1930s-1950s,How long has Mr. and Mrs. Smith been married for in 'Mr. & Mrs. Smith' (1941)?,3 years,8 years,1 year,5 years
460,1016,19,Board Games,How many male characters are there in Cluedo?,3,2,1,4
461,1003,22,Classical Music,How is Beethoven's 3rd Symphony better known?,Eroica,Choral,Summer,Leningrad
462,647,22,Classical Music,in what year was Ralph Vaughn Williams born?,1872,1842,1902,1942
463,219,8,Video Games,What is the name of the space-themed multiplayer whodunnit released in 2018?,Among Us,With Us,Without Us,Between Us
464,947,29,Cartoons,Before ‘Curb Your Enthusiasm’ which of these iconic ‘90s sitcoms did Larry David co-create?,Seinfeld,Friends,Roseanne,Cheers
465,280,10,Directors,"Who directed the 2008 film Iron Man, which started the Marvel Cinematic Universe?",Jon Favreau,Bryan Singer,Joss Whedon,John Woo
466,520,18,Beauty & Health,"A ""5 o'clock shadow"" is referring to which of these?",Facial Stubble,A Short Haircut,Leg Hair,Painted Toe Nails
467,898,30,Reality TV,Which original 1973 PBS show was The Real World based on?,An American Family,The Waltons,An American Dream,X-Factor
468,725,25,Biology,How many different species of dog are there worldwide?,800,20,50,"9,000"
469,648,22,Classical Music,"The ""Clair de Lune"" is a popular work by which composer?",Debussy,Bizet,Chopin,Grieg
470,425,15,Cities,The Colosseum in Rome is a famous landmark which was originally built as what?,Amphitheatre,Cathedral,Government Building,Royal Palace
471,320,11,Films Released in 1930s-1950s,How many days did Don Birnam finish a long alcoholic wagon in 'The Lost Weekend' (1945)?,10 days,5 days,3 days,8 days
472,1571,30,Reality TV,Which of these is one of the lead actors in season one of the TV show True Detective?,Matthew McConaughey,Jared Leto,Channing Tatum,Leonardo DiCaprio
473,1109,21,Classic Rock,Jim Kerr is the frontman of which band?,Simple Minds,Slade,Cream,Bon Jovi
474,1671,23,US Presidents,Which US President gained the nicknames 'The Little Magician' and 'Old Kinderhook' during his political career?,Martin Van Buren,James K Polk,James Madison,John Quincy Adams
475,217,8,Video Games,What is the name of Mario's younger brother in the Super Mario video game series?,Luigi,Elio,Lorenzo,Jacobo
476,602,21,Classic Rock,Rebel Yell is a hit song by which classic rock icon?,Billy Idol,Billy Model,Billy Icon,Billy Totem
477,852,29,Cartoons,In which year was The Flintstones created?,1960,1950,1969,1980
478,112,4,Famous Authors,"Which of the children is tempted by the Turkish Delight in ""The Lion, the Witch and the Wardrobe""?",Edmund,Lucy,Susan,Philip
479,100,4,Famous Authors,Who wrote Dracula?,Bram Stoker,Mary Shelley,H.G. Wells,Robert Louis Stevenson
480,1465,21,Classic Rock,Which band was Van Morrison once a member of?,Them,These,Those,Us
481,1349,12,Japanese Cuisine,What is the name for the Japanese dish of noodles served in broth with vegetables?,Ramen,Lamen,Tamen,Damen
482,1013,20,Mathematics,How many in five score?,100,50,200,500
483,1755,3,Lord of the Rings,Who was the cinematographer for the 'Lord of the Rings' movies?,Andrew Lesnie,Russell Boyd,Dion Beebe,Jabez Olssen
484,1738,30,Reality TV,Who plays the lead role in the TV show Orange Is the New Black?,Taylor Schilling,Blythe Danner,Gwyneth Paltrow,Teri Polo
485,1598,26,Astronomy & Space & Planets,Which other planet is closest in size to Earth?,Venus,Neptune,Mercury,Mars
486,1032,24,Chemistry,"If a substance is weakly acidic, what colour will it turn universal indicator?",Yellow,Blue,Green,Purple
487,1402,6,Car Parts,What type of plugs aren't found in an electric car?,Spark,Fuel,Suspension,Air
488,885,30,Reality TV,What is Ozzy Osbourne’s real first name?,John,Jack,James,Joseph
489,338,12,Japanese Cuisine,Arare is a snack of crackers made from which food?,Rice,Wheat,Oats,Rye
490,798,27,Sport - General - World Cup (Soccer),How many World Cup appearances Saudi Arabia has?,5,4,3,6
491,1102,6,Car Parts,It is recommended that windscreen wipers are changed how often?,Yearly,Monthly,Every 5 Years,Every 10 years
492,374,13,Brazilian Cuisine,Which cultural origin is Carne-de-Sol of?,Sephardic Jewish,Romany Gypsies,Austrian Australian,Berber Tuareg
493,1298,8,Video Games,What game was released with the Nintendo 64 upon its launch?,Super Mario 64',Mario Kart 64',Wave Race 64',Donkey Kong 64'
494,1532,25,Biology,Which of the following best describes what neurons do when they are stimulated?,Transmit,Contract,Nothing,Dilate
495,429,15,Cities,The Acropolis is a UNESCO World Heritage site in which city?,Athens,Thessalonica,Heraklion,Rhodes
496,1099,26,Astronomy & Space & Planets,In which year did Yuri Gagarin become the first man in space?,1961,1962,1964,1963
497,1365,1,History of Art,What is the period between the fall of the Roman Empire and the beginning of the Renaissance called?,The Middle Ages,The Rokoko,The Baroque,The Sculpture
498,1232,24,Chemistry,The major constituent of air is which gas?,Nitrogen,Oxygen,Carbon Dioxide,Helium
499,222,8,Video Games,It is estimated that how many people played video games worldwide in 2020?,2.7 Billion,100000,1 Million,3
500,500,17,Greek Mythology,Which fabled creature has a horn in the middle of its forehead?,Unicorn,Centaur,Harpy,Sphinx
501,877,30,Reality TV,The Reality show 'Kitchen Nightmares' featured which celebrity chef?,Gordon Ramsey,Joe Bastianich,Wolfgang Puck,Marco Pierre White
502,595,20,Mathematics,The concept of zero was first used by mathematicians in which country?,India,Egypt,France,Italy
503,916,15,Cities,A historic Cotton Tree grows in the centre of which African country's capital city?,Sierra Leone,Chad,Togo,South Sudan
504,974,22,Classical Music,Erik Satie was a composer from which country?,France,Norway,Israel,Greece
505,625,21,Classic Rock,How many studio albums did Jimi Hendrix release with The Experience trio?,3,1,6,10
506,1428,5,Electronics,What would you plug a dongle into?,Computer,Electric toothbrush,Vacuum cleaner,Drill
507,950,28,Sport - US - Basketball General,Blake Griffin was a Number 1 pick in the NBA Draft in the 2000s by which team?,LA Clippers,Houston Rockets,Orlando Magic,Toronto Raptors
508,1799,5,Electronics,Who invented the vacuum cleaner?,Daniel Hess,Antonie Philips van Leeuwenhoek,Jose Delgado,Giovanni Aldini
509,760,26,Astronomy & Space & Planets,"Which constellation takes its name from the Latin word for ""fishes""?",Pisces,Lynx,Virgo,Perseus
510,1660,28,Sport - US - Basketball General,Which team were originally known as the Buffalo Bisons?,Atlanta Hawks,Utah Jazz,Detroit Pistons,Houston Rockets
511,68,3,Lord of the Rings,Which character in The Lord Of The Rings is known as Sharkey?,Saruman,Elrond,Frodo,Gandalf
512,1094,10,Directors,In which Hitchcock movie does a plane shoot at a man in a field?,North By Northwest,Strangers On A Train,The Man Who Knew Too Much,Dial M For Murder
513,1127,22,Classical Music,Legato' is an instruction to play a piece in what style?,Smoothly,Loudly,Quickly,Violently
514,250,9,Musicals,What is the name of the 2018 musical film sequel to Mama Mia?,Mama Mia: Here We Go Again,Mama Mia: The Sequal,ABBA 2 ,Mama Mia: Fernando
515,1020,19,Board Games,How many playing cards are there in Cluedo?,21,25,19,15
516,383,13,Brazilian Cuisine,Which of the following ingredients is used in Pastel de Carne?,Beef,Chicken,Apple,Lamb
517,794,27,Sport - General - World Cup (Soccer),How many World Cup appearances Costa Rica has?,5,7,9,1
518,180,6,Car Parts,Which engine part opens and closes the engine valves?,Camshaft,Ball joint,Spark plug,Distributor cap
519,551,19,Board Games,Which of the following is a strategy-type guessing game played on a ruled grid?,Battleship,Twister,Candy Land,Mouse Trap
520,52,2,Children’s Literature,"What was the nationality of Tove Jansson, the creator of the Moomins?",Finnish,Swedish,Danish,Norwegian
521,446,15,Cities,What is Iceland's capital city?,Reykjavik,Copenhagen,Tallinn,Vilnius
522,1336,13,Brazilian Cuisine,What is Macarronada in English?,Macaroni,Mascarade,Macron,Maroon
523,1306,20,Mathematics,What is 75 subtract 40?,35,20,30,40
524,1041,3,Lord of the Rings,"In 'Lord of the Rings', who is Frodo's uncle?",Bilbo,Fosco,Bungo,Mungo
525,1632,27,Sport - General - World Cup (Soccer),Which player won the 2014 World Cup Bronze Boot award?,Neymar,Thomas Müller,James Rodríguez,Romelu Lukaku
526,1245,4,Famous Authors,The Stone Book Series is a series of novels by which author?,Alan Garner,Graham Swift,Jenny Joseph,William Golding
527,1618,27,Sport - General - World Cup (Soccer),Which player was the captain of Peru at the 2018 World Cup?,Paolo Guerrero,Carlos Cáceda,Wilder Cartagena,Edison Flores
528,1195,18,Beauty & Health,"Taurus, Virgo and Capricorn are classed as which star signs?",Earth,Fire ,Water,Air 
529,909,8,Video Games,"""Wrath of the Lich King"" was a 2008 expansion pack for which series?",World of Warcraft,Blade and Soul,Age of Conan ,Runescape
530,311,11,Films Released in 1930s-1950s,What does Dr. Frankenstein create out of lifeless body parts in 'Frankenstein' (1931)?,A monster,a robot,A dog,a machine
531,55,2,Children’s Literature,Hans Christian Anderson had what other job before writing?,Actor,Priest,Clerk,Cobbler
532,1450,29,Cartoons,Which actress starred alongside Dean Cain in '90s series The New Adventures of Superman?,Teri Hatcher,Holly Hunter ,Naomi Watts,Kirsten Dunst
533,709,24,Chemistry,Which elements are good conductors of heat and electricity?,Transition metals,Actinides,Lanthanides,Alkaline earth metals
534,1092,19,Board Games,In which decade was Monopoly created?,1920s,1940s,1950s,1960s
535,887,30,Reality TV,The 'High Voltage' Tattoo parlor featured in which US Reality TV Show?,LA Ink,American Idol,The Voice,The Osbournes
536,615,21,Classic Rock,Eric Clapton was a member of which classic rock band?,Cream,Jam,Butter,Lotion
537,42,2,Children’s Literature,What is the superhero identity of Principal Benjamin Krupp in the books by Dav Pilkey?,Captain Underpants,Doctor Socks,Admiral String Vest,Professor Thermals
538,265,9,Musicals,Who wrote the critically acclaimed Hamilton The Musical?,Lin-Manuel Miranda,Andrew Lloyd Webber,Stephen Sondheim,Tim Rice
539,370,13,Brazilian Cuisine,Which continent is northeast Brazilian cuisine influenced by?,African,North American,Antarctica,India
540,1249,30,Reality TV,The TV show Grey's Anatomy is set where?,Hospital,Police station,Law office,School
541,567,19,Board Games,"In Operation, what is the name of the character having his body parts removed?",Cavity Sam,John Doe,Patient Z,Mr Man
542,1694,11,Films Released in 1930s-1950s,Which year did the film 'The King and I' release?,1956,1881,1968,1999
543,176,6,Car Parts,What does ECU stand for?,Engine Control Unit,Extra Cold Unit,Even Condition Unit,Element Cutting Unit
544,814,28,Sport - US - Basketball General,How many points are awarded for netting each free throw?,1,3,2,4
545,588,20,Mathematics,How many items make a gross?,144,124,104,94
546,1630,27,Sport - General - World Cup (Soccer),Which player won the 2010 World Cup Best young player award?,Thomas Müller,Christian Eriksen,Vincent Aboubakar,Chris Wood
547,459,16,Landmarks & Monuments,Which European city is Big Ben in? ,London,Berlin,Madrid,Rome
548,1375,7,Comics,"What is the title of the third installment of the 'X-Men' trilogy, played at theaters?",X-Men: The Last Stand,X-Men United,X-Men Origins: Wolverine,X-Men
549,321,11,Films Released in 1930s-1950s,How many days does Don Birnam go on an alcoholic binge in 'The Lost Weekend' (1945)?,4 days,7 days,2 days,3 days
550,839,28,Sport - US - Basketball General,What is the basketball term for a player geting double figures in a game for two major stats?,Double-double,Double-up,Double-scoop,Double-vision
551,1669,5,Electronics,Which unit is usually used to show the definition of a digital camera's images?,Megapixel,Megawatt,Megaton,Megabus
552,201,7,Comics,In which comic book series did superhero Black Panther first appear?,Fantastic Four,The Avengers,Superman,Fantastic Five
553,1344,19,Board Games,What is the most expensive house in Life?,The Victorian,The Split-Level,The Tudor,The Beach House
554,1534,13,Brazilian Cuisine,Which of the following ingredients are in a Bolinho de Chuva com Chocolate?,Flour,Orange,Lemon,Banana
555,435,15,Cities,The famous theatre district in New York is known by what name?,Broadway,The West End,The Bronx,Light Avenue
556,1504,23,US Presidents,Which Independent candidate won 46 Electoral College votes and carried 5 states in the 1968 presidential election?,George Wallace,Harry F Byrd,Strom Thurmond,John Anderson
557,308,11,Films Released in 1930s-1950s,What colour is the rose in the 1950 film 'The Rose' (1950)?,Black,Blue,White,Green
558,928,25,Biology,All dinosaurs lived where?,On land,In the sea,Up trees,In the sky
559,1390,30,Reality TV,"What other business mogul hosted a version of ""The Apprentice""?",Martha Stewart,Merv Griffin,Michael Bloomberg,Bill Gates
560,355,12,Japanese Cuisine,"KFC ran a successful ""Kentucky for Christmas"" ad campaign in which decade?",1970s,1990s,1950s,1930s
561,1623,27,Sport - General - World Cup (Soccer),Which player was the Colombian top scorer at the 2018 World Cup?,Yerry Mina,James Rodríguez,Juan Cuadrado,Abel Aguilar
562,1672,23,US Presidents,Which US President had the nickname 'Old Rough and Ready?',Zachary Taylor,James K. Polk,Millard Fillmore,John Tyler
563,846,29,Cartoons,Daffy Duck is a character from which cartoon series?,Looney Tunes,The Flintstones,Crazy Tunes,The Rugrats
564,141,5,Electronics,What does USB stands for?,Universal Serial Bus,Universal Secured Blog,Undefined Species of Bugs,Unexpected Series of Bday
565,773,26,Astronomy & Space & Planets,What was the name of the space shuttle that exploded shortly after takeoff in January 1986?,Challenger,Voyager,Victor,Conqueror
566,477,16,Landmarks & Monuments,Which US city would you visit to see the Golden Gate Bridge?,San Francisco,San Diego,San Bernardino,San Juan Capistrano
567,842,29,Cartoons,In which year was the popular children's cartoon Peppa Pig created?,2004,1994,1984,1974
568,1193,16,Landmarks & Monuments,Table Mountain is in which African country?,South Africa,Botswana,Central African Republic,Kenya
569,86,3,Lord of the Rings,"In 'Lord of the Rings', who is Denethor's father?",Ecthelion,Mungo,Saruman,Mufenwee
570,1608,27,Sport - General - World Cup (Soccer),Which player scored the winning goal for Argentina against Belgium in the 2014 World Cup quarter-finals?,Gonzalo Higuaín,Lionel Messi,Maxi Rodríguez,Javier Mascherano
571,1543,15,Cities,Which of the following is NOT a U.S. state capital city?,Jacksonville,Little Rock,Denver,Frankfort
572,1487,19,Board Games,Which company produces Cluedo in the UK?,Waddington's,Hasbro,Mattel,Shannon Games
573,1538,13,Brazilian Cuisine,Which of the following is an ingredient in Empadao de Frango?,Butter,Beef,Lentils,Pumpkin Seeds
574,1793,12,Japanese Cuisine,Yoshuku means Japanese dishes influenced by the cuisine from which part of the world?,Europe,North Africa,South America,India
575,155,6,Car Parts,What component of a car provides electricity?,Battery,Fuel Gauge,Carburettor,Brake disc
576,816,28,Sport - US - Basketball General,How many total centers are on the basketball court at one time during a game?,2,4,8,0
577,1769,23,US Presidents,Who was the first US President to serve only one term as president?,John Adams,George Washington,Thomas Jefferson,James Monroe
578,156,6,Car Parts,What is a car radiator filled with?,Antifreeze,Washing liquid,Fuel,Oil
579,302,11,Films Released in 1930s-1950s,How many Oscars did 'The Lost Weekend' (1945) win?,4,0,8,10
580,76,3,Lord of the Rings,Who played Sam in the 2000s film trilogy based on The Lord of the Rings?,Sean Astin,Sean Bean,Ian Holm,Orlando Bloom
581,1387,22,Classical Music,What nationality was the composer Bela Bartok?,Hungarian,Dutch,French,German 
582,376,13,Brazilian Cuisine,How many different fillings can be filled in a Risoles Brasileiros?,3,9,0,6
583,1290,5,Electronics,What does the 'sat' stand for in 'sat nav'?,Satellite,Saturday,Saturn,Satisfied
584,468,16,Landmarks & Monuments,The CN Tower is in which Canadian city?,Toronto,Ottawa,Montreal,Vancouver
585,452,16,Landmarks & Monuments,Who lives in the White House?,US President,UK Prime Minister,King of Spain,Queen Elizabeth II
586,730,25,Biology,A peacock is the male of which of these species?,Indian peafowl,Robin,Mandrill,Seagull
587,1429,19,Board Games,What's the maximum of players for a Monopoly game?,8,10,6,2
588,101,4,Famous Authors,Eric Arthur Blair was the real name of which author?,George Orwell,James Joyce,Ernest Hemingway,Anthony Burgess
589,802,27,Sport - General - World Cup (Soccer),What was the year when Costa Rica participated at the World Cup for the first time?,1990,1994,1982,1966
590,1508,18,Beauty & Health,Which is not a type of arthritis?,Encephalitis,Scleroderma,Gout,Lupus
591,483,17,Greek Mythology,Who was the Greek God of Love?,Eros,Apollo,Adonis,Cupid
592,1081,8,Video Games,In what game was Mario first given his name?,Donkey Kong Junior,Donkey Kong,Mario Bros.,Jumpman
593,1143,6,Car Parts,Mudflaps are attached to which part of your car?,Wheels,Bonnet,Windscreen,Roof
594,1758,10,Directors,Who was the director of Master and Commander: The Far Side of the World?,Peter Weir,George Clooney,Paul Haggis,Tony Gilroy
595,1261,7,Comics,Under the direction of whom did Mongul destroy Coast City to build Engine City?,Cyborg Superman,Parallax,Darkseid,Lex Luthor
596,1477,29,Cartoons,Which cartoon character was voiced by Wayne Allwine for 30 years?,Mickey Mouse,Fred Flintstone,The Hooded Claw,Elmer J.Fudd
597,1573,9,Musicals,Which of these is the highest-earning musical film?,Grease,The Water Babies,American Graffiti,Flashdance
598,859,29,Cartoons,The cartoon Yogi Bear first aired in which year?,1958,1928,1988,2008
599,1009,25,Biology,How many bones are in the human body?,206,1006,27,600
600,553,19,Board Games,There is a spin-off version of the board game Catan inspired by which TV show?,Game of Thrones,Eastenders,Coronation Street,Grey's Anatomy
601,1132,25,Biology,Male crocodiles are known as what?,Bulls,Hulls,Gulls,Mulls
602,1797,3,Lord of the Rings,"What race of being says ""Go not to the Elves for counsel, for they will say both no and yes."" to Frodo in Lord of the Rings?",Elf,Dwarf,Orc,Human
